ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Maceration
45,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
46,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6,0
47,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,1
48,5,0.27,0.32,4.5,0.032,58,178,0.98956,3.45,0.31,12.6,7,1
49,5,0.3,0.33,3.7,0.03,54,173,0.9887,3.36,0.3,13,7,1
50,5,0.24,0.21,2.2,0.039,31,100,0.99098,3.69,0.62,11.7,6,0
51,5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8,0
52,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,5,0
53,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,7,1
54,5,0.255,0.22,2.7,0.043,46,153,0.99238,3.75,0.76,11.3,6,0
55,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,0
56,5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6,0
57,5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6,1
58,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,6,1
59,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,7,1
60,5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10,5,1
61,5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,6,1
62,5,0.2,0.4,1.9,0.015,20,98,0.9897,3.37,0.55,12.05,6,1
63,5,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6,0
64,5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6,16
65,5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7,7
66,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7,20
67,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7,18
68,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,0
69,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,0
70,5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,0
71,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7,0
72,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,1
73,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,0
74,5.1,0.31,0.3,0.9,0.037,28,152,0.992,3.54,0.56,10.1,6,0
75,5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6,1
76,5.1,0.11,0.32,1.6,0.028,12,90,0.99008,3.57,0.52,12.2,6,0
77,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,1
78,5.1,0.29,0.28,8.3,0.026,27,107,0.99308,3.36,0.37,11,6,0
79,5.1,0.33,0.27,6.7,0.022,44,129,0.99221,3.36,0.39,11,7,0
80,5.1,0.21,0.28,1.4,0.047,48,148,0.99168,3.5,0.49,10.4,5,1
81,5.1,0.165,0.22,5.7,0.047,42,146,0.9934,3.18,0.55,9.9,6,1
82,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,1
83,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,1
84,5.1,0.35,0.26,6.8,0.034,36,120,0.99188,3.38,0.4,11.5,6,0
85,5.1,0.23,0.18,1,0.053,13,99,0.98956,3.22,0.39,11.5,5,1
86,5.1,0.305,0.13,1.75,0.036,17,73,0.99,3.4,0.51,12.33333333,5,0
87,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,7,0
88,5.1,0.26,0.34,6.4,0.034,26,99,0.99449,3.23,0.41,9.2,6,0
89,5.1,0.26,0.33,1.1,0.027,46,113,0.98946,3.35,0.43,11.4,7,1
90,5.1,0.3,0.3,2.3,0.048,40,150,0.98944,3.29,0.46,12.2,6,0
91,5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,10
92,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,18
93,5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,12
94,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,13
95,5.2,0.645,0,2.15,0.08,15,28,0.99444,3.78,0.61,12.5,6,18
96,5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6,17
97,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,1
98,5.2,0.44,0.04,1.4,0.036,43,119,0.9894,3.36,0.33,12.1,8,0
99,5.2,0.6,0.07,7,0.044,33,147,0.9944,3.33,0.58,9.7,5,0
100,5.2,0.36,0.02,1.6,0.031,24,104,0.9896,3.44,0.35,12.2,6,1
101,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,0
102,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,8,1
103,5.2,0.365,0.08,13.5,0.041,37,142,0.997,3.46,0.39,9.9,6,0
104,5.2,0.37,0.33,1.2,0.028,13,81,0.9902,3.37,0.38,11.7,6,1
105,5.2,0.16,0.34,0.8,0.029,26,77,0.99155,3.25,0.51,10.1,6,0
106,5.2,0.28,0.29,1.1,0.028,18,69,0.99168,3.24,0.54,10,6,0
107,5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,8,1
108,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,1
109,5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,0
110,5.2,0.17,0.27,0.7,0.03,11,68,0.99218,3.3,0.41,9.8,5,0
111,5.2,0.34,0.37,6.2,0.031,42,133,0.99076,3.25,0.41,12.5,6,1
112,5.2,0.31,0.36,5.1,0.031,46,145,0.9897,3.14,0.31,12.4,7,0
113,5.2,0.335,0.2,1.7,0.033,17,74,0.99002,3.34,0.48,12.3,6,1
114,5.2,0.2,0.27,3.2,0.047,16,93,0.99235,3.44,0.53,10.1,7,0
115,5.2,0.31,0.2,2.4,0.027,27,117,0.98886,3.56,0.45,13,7,0
116,5.2,0.22,0.46,6.2,0.066,41,187,0.99362,3.19,0.42,9.733333333,5,1
117,5.2,0.38,0.26,7.7,0.053,20,103,0.9925,3.27,0.45,12.2,6,0
118,5.2,0.5,0.18,2,0.036,23,129,0.98949,3.36,0.77,13.4,7,0
119,5.2,0.24,0.15,7.1,0.043,32,134,0.99378,3.24,0.48,9.9,6,1
120,5.2,0.185,0.22,1,0.03,47,123,0.99218,3.55,0.44,10.15,6,1
121,5.2,0.3,0.34,1.5,0.038,18,96,0.98942,3.56,0.48,13,8,0
122,5.2,0.21,0.31,1.7,0.048,17,61,0.98953,3.24,0.37,12,7,1
123,5.2,0.405,0.15,1.45,0.038,10,44,0.99125,3.52,0.4,11.6,4,1
124,5.2,0.25,0.23,1.4,0.047,20,77,0.99001,3.32,0.62,11.4,5,1
125,5.3,0.57,0.01,1.7,0.054,5,27,0.9934,3.57,0.84,12.5,7,10
126,5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5,11
127,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.56666667,7,13
128,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7,11
129,5.3,0.58,0.07,6.9,0.043,34,149,0.9944,3.34,0.57,9.7,5,1
130,5.3,0.585,0.07,7.1,0.044,34,145,0.9945,3.34,0.57,9.7,6,0
131,5.3,0.32,0.12,6.6,0.043,22,141,0.9937,3.36,0.6,10.4,6,0
132,5.3,0.3,0.2,1.1,0.077,48,166,0.9944,3.3,0.54,8.7,4,0
133,5.3,0.24,0.33,1.3,0.033,25,97,0.9906,3.59,0.38,11,8,1
134,5.3,0.395,0.07,1.3,0.035,26,102,0.992,3.5,0.35,10.6,6,1
135,5.3,0.26,0.23,5.15,0.034,48,160,0.9952,3.82,0.51,10.5,7,0
136,5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5,0
137,5.3,0.76,0.03,2.7,0.043,27,93,0.9932,3.34,0.38,9.2,5,1
138,5.3,0.2,0.31,3.6,0.036,22,91,0.99278,3.41,0.5,9.8,6,1
139,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,0
140,5.3,0.16,0.39,1,0.028,40,101,0.99156,3.57,0.59,10.6,6,1
141,5.3,0.21,0.29,0.7,0.028,11,66,0.99215,3.3,0.4,9.8,5,0
142,5.3,0.3,0.16,4.2,0.029,37,100,0.9905,3.3,0.36,11.8,8,1
143,5.3,0.32,0.23,9.65,0.026,26,119,0.99168,3.18,0.53,12.2,6,0
144,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,0
145,5.3,0.36,0.27,6.3,0.028,40,132,0.99186,3.37,0.4,11.6,6,1
146,5.3,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,1
147,5.3,0.23,0.56,0.9,0.041,46,141,0.99119,3.16,0.62,9.7,5,1
148,5.3,0.33,0.3,1.2,0.048,25,119,0.99045,3.32,0.62,11.3,6,1
149,5.3,0.43,0.11,1.1,0.029,6,51,0.99076,3.51,0.48,11.2,4,1
150,5.3,0.47,0.1,1.3,0.036,11,74,0.99082,3.48,0.54,11.2,4,1
151,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,1
152,5.3,0.31,0.38,10.5,0.031,53,140,0.99321,3.34,0.46,11.7,6,1
153,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,7,1
154,5.3,0.275,0.24,7.4,0.038,28,114,0.99313,3.38,0.51,11,6,0
155,5.3,0.6,0.34,1.4,0.031,3,60,0.98854,3.27,0.38,13,6,1
156,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,9
157,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7,8
158,5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6,7
159,5.4,0.58,0.08,1.9,0.059,20,31,0.99484,3.5,0.64,10.2,6,12
160,5.4,0.74,0.09,1.7,0.089,16,26,0.99402,3.67,0.56,11.6,6,20
161,5.4,0.59,0.07,7,0.045,36,147,0.9944,3.34,0.57,9.7,6,0
162,5.4,0.31,0.47,3,0.053,46,144,0.9931,3.29,0.76,10,5,0
163,5.4,0.29,0.47,3,0.052,47,145,0.993,3.29,0.75,10,6,1
164,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6,0
165,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5,1
166,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,0
167,5.4,0.5,0.13,5,0.028,12,107,0.99079,3.48,0.88,13.5,7,0
168,5.4,0.23,0.36,1.5,0.03,74,121,0.98976,3.24,0.99,12.1,7,1
169,5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7,1
170,5.4,0.45,0.27,6.4,0.033,20,102,0.98944,3.22,0.27,13.4,8,1
171,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8,0
172,5.4,0.53,0.16,2.7,0.036,34,128,0.98856,3.2,0.53,13.2,8,1
173,5.4,0.3,0.3,1.2,0.029,25,93,0.98742,3.31,0.4,13.6,7,0
174,5.4,0.255,0.33,1.2,0.051,29,122,0.99048,3.37,0.66,11.3,6,0
175,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,1
176,5.4,0.46,0.15,2.1,0.026,29,130,0.98953,3.39,0.77,13.4,8,0
177,5.4,0.17,0.27,2.7,0.049,28,104,0.99224,3.46,0.55,10.3,6,1
178,5.4,0.24,0.18,2.3,0.05,22,145,0.99207,3.24,0.46,10.3,5,0
179,5.4,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,0
180,5.4,0.15,0.32,2.5,0.037,10,51,0.98878,3.04,0.58,12.6,6,0
181,5.4,0.265,0.28,7.8,0.052,27,91,0.99432,3.19,0.38,10.4,6,0
182,5.4,0.22,0.35,6.5,0.029,26,87,0.99092,3.29,0.44,12.5,7,0
183,5.4,0.27,0.22,4.6,0.022,29,107,0.98889,3.33,0.54,13.8,6,1
184,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6,1
185,5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6,0
186,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,7,1
187,5.4,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,1
188,5.4,0.375,0.4,3.3,0.054,29,147,0.99482,3.42,0.52,9.1,5,1
189,5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,8,18
190,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,0
191,5.5,0.335,0.3,2.5,0.071,27,128,0.9924,3.14,0.51,9.6,6,1
192,5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6,1
193,5.5,0.35,0.35,1.1,0.045,14,167,0.992,3.34,0.68,9.9,6,0
194,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,0
195,5.5,0.32,0.45,4.9,0.028,25,191,0.9922,3.51,0.49,11.5,7,0
196,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,0
197,5.5,0.14,0.27,4.6,0.029,22,104,0.9949,3.34,0.44,9,5,1
198,5.5,0.24,0.32,8.7,0.06,19,102,0.994,3.27,0.31,10.4,5,0
199,5.5,0.15,0.32,14,0.031,16,99,0.99437,3.26,0.38,11.5,8,1
200,5.5,0.375,0.38,1.7,0.036,17,98,0.99142,3.29,0.39,10.5,6,1
201,5.5,0.34,0.26,2.2,0.021,31,119,0.98919,3.55,0.49,13,8,1
202,5.5,0.18,0.22,5.5,0.037,10,86,0.99156,3.46,0.44,12.2,5,1
203,5.5,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,1
204,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,0
205,5.5,0.12,0.33,1,0.038,23,131,0.99164,3.25,0.45,9.8,5,1
206,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,0
207,5.5,0.17,0.23,2.9,0.039,10,108,0.99243,3.28,0.5,10,5,0
208,5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10,5,1
209,5.5,0.28,0.21,1.6,0.032,23,85,0.99027,3.42,0.42,12.5,5,1
210,5.5,0.21,0.25,1.2,0.04,18,75,0.99006,3.31,0.56,11.3,6,0
211,5.5,0.23,0.19,2.2,0.044,39,161,0.99209,3.19,0.43,10.4,6,0
212,5.5,0.315,0.38,2.6,0.033,10,69,0.9909,3.12,0.59,10.8,6,0
213,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.63333333,6,1
214,5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6,0
215,5.5,0.16,0.31,1.2,0.026,31,68,0.9898,3.33,0.44,11.65,6,1
216,5.5,0.16,0.26,1.5,0.032,35,100,0.99076,3.43,0.77,12,6,0
217,5.5,0.62,0.33,1.7,0.037,24,118,0.98758,3.15,0.39,13.55,6,1
218,5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,6,1
219,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,5,1
220,5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,7,0
221,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,19
222,5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5,10
223,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,16
224,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,14
225,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8,11
226,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,17
227,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7,7
228,5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,5,15
229,5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,5,17
230,5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5,7
231,5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,4,14
232,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,10
233,5.6,0.54,0.04,1.7,0.049,5,13,0.9942,3.72,0.58,11.4,5,19
234,5.6,0.31,0.78,13.9,0.074,23,92,0.99677,3.39,0.48,10.5,6,12
235,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,6,0
236,5.6,0.245,0.25,9.7,0.032,12,68,0.994,3.31,0.34,10.5,5,1
237,5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7,1
238,5.6,0.26,0.26,5.7,0.031,12,80,0.9923,3.25,0.38,10.8,5,0
239,5.6,0.34,0.1,1.3,0.031,20,68,0.9906,3.36,0.51,11.2,7,0
240,5.6,0.35,0.37,1,0.038,6,72,0.9902,3.37,0.34,11.4,5,1
241,5.6,0.19,0.47,4.5,0.03,19,112,0.9922,3.56,0.45,11.2,6,1
242,5.6,0.35,0.14,5,0.046,48,198,0.9937,3.3,0.71,10.3,5,0
243,5.6,0.235,0.29,1.2,0.047,33,127,0.991,3.34,0.5,11,7,1
244,5.6,0.25,0.26,3.6,0.037,18,115,0.9904,3.42,0.5,12.6,6,1
245,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,0
246,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,0
247,5.6,0.245,0.32,1.1,0.047,24,152,0.9927,3.12,0.42,9.3,6,0
248,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7,1
249,5.6,0.49,0.13,4.5,0.039,17,116,0.9907,3.42,0.9,13.7,7,0
250,5.6,0.185,0.49,1.1,0.03,28,117,0.9918,3.55,0.45,10.3,6,0
251,5.6,0.39,0.24,4.7,0.034,27,77,0.9906,3.28,0.36,12.7,5,0
252,5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,0
253,5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6,1
254,5.6,0.18,0.31,1.5,0.038,16,84,0.9924,3.34,0.58,10.1,6,0
255,5.6,0.13,0.27,4.8,0.028,22,104,0.9948,3.34,0.45,9.2,6,1
256,5.6,0.295,0.2,2.2,0.049,18,134,0.99378,3.21,0.68,10,5,0
257,5.6,0.35,0.4,6.3,0.022,23,174,0.9922,3.54,0.5,11.6,7,1
258,5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6,0
259,5.6,0.2,0.22,1.3,0.049,25,155,0.99296,3.74,0.43,10,5,1
260,5.6,0.12,0.26,4.3,0.038,18,97,0.99477,3.36,0.46,9.2,5,0
261,5.6,0.15,0.31,5.3,0.038,8,79,0.9923,3.3,0.39,10.5,6,1
262,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,0
263,5.6,0.19,0.46,1.1,0.032,33,115,0.9909,3.36,0.5,10.4,6,0
264,5.6,0.18,0.58,1.25,0.034,29,129,0.98984,3.51,0.6,12,7,0
265,5.6,0.21,0.4,1.3,0.041,81,147,0.9901,3.22,0.95,11.6,8,0
266,5.6,0.2,0.66,10.2,0.043,78,175,0.9945,2.98,0.43,10.4,7,0
267,5.6,0.18,0.27,1.7,0.03,31,103,0.98892,3.35,0.37,12.9,6,0
268,5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5,0
269,5.6,0.28,0.4,6.1,0.034,36,118,0.99144,3.21,0.43,12.1,7,0
270,5.6,0.41,0.22,7.1,0.05,44,154,0.9931,3.3,0.4,10.5,5,1
271,5.6,0.42,0.34,2.4,0.022,34,97,0.98915,3.22,0.38,12.8,7,1
272,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,1
273,5.6,0.12,0.33,2.9,0.044,21,73,0.98896,3.17,0.32,12.9,8,0
274,5.6,0.32,0.32,8.3,0.043,32,105,0.99266,3.24,0.47,11.2,6,0
275,5.6,0.15,0.26,5.55,0.051,51,139,0.99336,3.47,0.5,11,6,1
276,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,0
277,5.6,0.32,0.33,7.4,0.037,25,95,0.99268,3.25,0.49,11.1,6,0
278,5.6,0.34,0.3,6.9,0.038,23,89,0.99266,3.25,0.49,11.1,6,0
279,5.6,0.28,0.27,3.9,0.043,52,158,0.99202,3.35,0.44,10.7,7,0
280,5.6,0.28,0.28,4.2,0.044,52,158,0.992,3.35,0.44,10.7,7,1
281,5.6,0.25,0.19,2.4,0.049,42,166,0.992,3.25,0.43,10.4,6,1
282,5.6,0.21,0.24,4.4,0.027,37,150,0.991,3.3,0.31,11.5,7,1
283,5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6,0
284,5.6,0.19,0.31,2.7,0.027,11,100,0.98964,3.46,0.4,13.2,7,0
285,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,0
286,5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6,0
287,5.6,0.23,0.25,8,0.043,31,101,0.99429,3.19,0.42,10.4,6,1
288,5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6,1
289,5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,7,1
290,5.6,0.18,0.29,2.3,0.04,5,47,0.99126,3.07,0.45,10.1,4,1
291,5.6,0.26,0,10.2,0.038,13,111,0.99315,3.44,0.46,12.4,6,1
292,5.6,0.225,0.24,9.8,0.054,59,140,0.99545,3.17,0.39,10.2,6,0
293,5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7,1
294,5.6,0.26,0.27,10.6,0.03,27,119,0.9947,3.4,0.34,10.7,7,1
295,5.6,0.22,0.32,1.2,0.024,29,97,0.98823,3.2,0.46,13.05,7,0
296,5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7,0
297,5.6,0.695,0.06,6.8,0.042,9,84,0.99432,3.44,0.44,10.2,5,1
298,5.6,0.27,0.37,0.9,0.025,11,49,0.98845,3.29,0.33,13.1,6,0
299,5.6,0.205,0.16,12.55,0.051,31,115,0.99564,3.4,0.38,10.8,6,1
